School,Department,Course_Type,Course,Duration,Eligibiliy,Fee
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,Diploma in GST,6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,Certificate in Fashion Design,6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,"Certificate in Beauty,Skin and Hair",6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,Certificate in Electroplanting,6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,Certificate in Yoga & Therpy,6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,Cabin Crew Training,6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,Certificate in inflight Operation,6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,Certificate in BPO,6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,Diploma in House Wiring,6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,"Diploma in Beauty Culture, Hair & Skin Care",6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,Diploma in Computer Applications,6 Months,,
School of Skill Development & Vocational Studies,Skill & Vocational Studies,Diploma,Diploma Hardware Engineering,6 Months,,
School,Department,Course_Type,Course,Duration,Eligibiliy,Fee
School of Technology,Civil Engineering,Post Graduate,M.Tech(Civil),2 Years,,
School of Technology,Civil Engineering,Diploma,Diploma in Civil Engineering,3 Years,,
School of Technology,Civil Engineering,Under Graduate,B.Tech(Civil),4 Years,,
School of Technology,Computer Science Engineering,Post Graduate,M.Tech(CS),2 Years,,
School of Technology,Computer Science Engineering,Diploma,Diploma in CSE,3 Years,,
School of Technology,Computer Science Engineering,Under Graduate,B.Tech(CS),4 Years,,
School of Technology,Computer Science Engineering,Under Graduate,B.Tech(Data Science),4 Years,,
School of Technology,Computer Science Engineering,Under Graduate,B.Tech(Artificial Intelligence & Robotics),4 Years,,
School of Technology,Computer Science Engineering,Doctorate,Ph.D CSE,5 Years,,
School of Technology,Mechanical Engineering,Post Graduate,M.Tech(ME),2 Years,,
School of Technology,Mechanical Engineering,Diploma,Diploma in Mechanical Engineering,3 Years,,
School of Technology,Mechanical Engineering,Under Graduate,B.Tech(ME),4 Years,,
School of Technology,Mechanical Engineering,Doctorate,Ph.D Mechanical,5 Years,,
School of Technology,Mechanical Engineering,Doctorate,Ph.D Electrical Engineering,5 Years,,
School,Department,Course_Type,Course,Duration,Eligibiliy,Fee
School of Tourism & Hospitality Management,Tourism & Hospitality Management,Diploma,Diploma in Food Production,1.5 Years,,
School of Tourism & Hospitality Management,Tourism & Hospitality Management,Diploma,Diploma in Food and Bevrage Services,1.5 Years,,
School of Tourism & Hospitality Management,Tourism & Hospitality Management,Diploma,Diploma in Bakery & Confectionary,1.5 Years,,
School of Tourism & Hospitality Management,Tourism & Hospitality Management,Diploma,Diploma in Front Office Operations,1.5 Years,,
School of Tourism & Hospitality Management,Tourism & Hospitality Management,Under Graduate,BHMCT,4 Years,,
