1,School of Art & Humanities,admin,0
2,School of Commerce & Business Management,admin,0
3,School of Computer Application,admin,0
4,School of Life and Allied Science,admin,0
5,School of Pharmacy,admin,0
6,School of Physical Science,admin,0
7,School of Skill Development & Vocational Studies,admin,0
8,School of Technology,admin,0
9,School of Tourism & Hospitality Management,admin,0
